region,size (sq m),2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.1,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.1,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.1,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.1,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.1,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12,2022.01,2022.02,2022.03
Total,135<x,729.6819546,730.0092834,730.6069103,731.5769609,732.7592639,735.2785319,738.5727662,741.2121687,744.6790767,751.6239172,758.6682957,760.1115107,760.8747345,761.2620415,762.9072307,764.445671,767.8846117,774.3028696,779.6617386,788.2375254,790.0300931,793.2754165,797.4916764,804.3726156,816.5600982,826.015555,839.2466477,848.901606,853.660025,856.4433851,860.4319792,866.5352982,886.3248491,899.0953964,906.0995915,907.659353,885.4422159,886.2039681,885.417811,884.7285152,884.4684261,885.2337394,892.2318671,898.6253125,905.0513405,907.5847608,904.6550906,912.6561553,931.7262253,939.6129197,947.9887098,949.3697697,950.8863862,959.3277909,975.6770278,989.2380463,1007.304543,1021.150191,1045.456237,1065.041298,1086.265129,1109.155947,1124.376558,1139.833119,1152.944376,1174.933133,1190.074373,1209.730119,1231.64149,1253.341407,1279.787662,1292.662772,1299.701353,1310.788961,1320.89888
Total,102<x<=135,460.9096898,461.1197522,461.439217,461.812792,462.4933114,463.9570245,465.7837355,467.7956643,470.1115947,473.7433239,476.9825948,477.7389703,478.3740603,479.0220575,479.8484996,480.6909184,482.452189,486.4870896,489.4188177,494.6794228,496.1806637,498.0106611,501.0520725,505.0307409,511.3169654,517.3939815,525.005386,530.1884688,532.6179955,534.3546232,537.0288547,541.7718109,557.3539158,564.9242144,568.1390084,569.4480303,557.6954578,557.8034691,557.2696484,556.4930755,556.4770967,556.678561,559.2599225,562.7442881,566.1473114,567.4899934,570.6910189,576.9861703,590.3113372,597.7457593,606.2535361,608.6353396,610.1692646,617.6847264,630.3958848,642.0746492,656.7744527,664.0840468,681.5313578,697.4602563,713.2664096,732.0466447,746.9031455,758.0946973,767.7878388,783.8814275,796.5407551,810.9920156,826.0876039,839.5986259,856.4862904,864.6055632,873.1648878,882.1092453,889.511362
Total,85<x<=102,411.3732901,411.7579411,412.2235388,412.9765107,414.0377487,415.3642636,418.0909637,420.5307328,423.2366245,427.2822503,431.4278501,432.6273622,432.893093,433.5826934,434.4912568,435.1975966,437.2339532,441.9003822,443.434806,447.2256881,448.7811998,451.0660857,453.2557577,456.0493597,462.760432,467.6877478,475.7810906,478.4609552,480.2300953,482.7512448,484.6271747,489.1569469,502.6659461,510.110894,515.4661664,516.5560003,443.9128442,443.8722337,442.9718381,442.0112217,441.4252564,441.2356824,442.7813095,446.5271208,449.1506719,450.1341586,452.8828854,457.557776,467.7657171,473.0195637,483.66303,485.8157,487.6108249,492.8569559,503.6864091,513.0052056,522.0830289,527.6568868,539.3737371,554.56054,566.4926951,580.0603291,591.8710952,600.5838384,608.1120281,620.0130716,628.2582625,640.1979414,652.2485845,692.2072748,734.7408441,748.7201971,763.6624529,780.7770195,794.587868
Total,60<x<=85,291.5396541,291.9681908,292.2534386,292.6913111,293.5089797,294.4075027,295.7160326,297.2601561,298.5685656,301.2958931,303.770953,304.6779734,305.1979137,305.5675365,306.1045858,306.605627,307.7333404,309.7021487,311.3541894,314.0553964,315.0464149,316.3336999,318.1798507,320.0656964,322.9474188,325.5756117,329.6637926,332.0367562,333.3028482,334.1746843,335.2636445,337.526523,345.4230973,349.9309493,351.7287058,352.3980235,328.3547818,328.1304099,327.6417051,327.0513717,326.7530728,326.5050934,327.3794165,328.2232197,329.2474457,329.4708164,331.2431278,334.3701587,340.9164948,344.7168803,350.879562,352.9593923,353.9550313,358.3280147,365.9403963,372.5395127,379.5525081,383.8220604,392.3638117,400.9680967,409.5422226,419.7783059,429.2216926,436.1491709,442.0485847,450.8911891,458.0949524,468.232586,477.8531687,495.6284105,515.2245249,523.9574962,532.8810455,541.8454622,549.0295268
Total,x<=60,183.7144945,183.9871792,184.4251567,184.9073806,185.6790682,186.4415838,187.5106747,188.773629,190.114637,192.1341746,193.799217,194.4010648,194.7837339,195.0526173,195.4449438,195.9147449,196.610596,198.268408,199.6809436,201.26223,201.9396914,202.7392281,203.4350571,204.3641737,206.0248945,207.2844493,209.5366111,210.872291,211.3550561,211.8915314,212.4539879,213.926104,219.1999828,222.0922954,223.1101574,223.2554954,229.0379227,228.5414922,227.5412916,226.9136945,226.4981319,226.1909235,227.4112359,228.6031843,229.7788874,229.8030698,230.7419782,232.685096,236.7702125,239.1831234,243.151258,244.2738604,244.7922815,247.7902928,253.8534362,258.7209006,263.6738247,266.4261536,270.7389351,275.2865284,279.5375496,285.6886142,291.9417728,296.6408641,301.2724257,307.5120152,313.3390689,321.7299178,330.3304784,335.2019377,341.0691593,340.8371305,340.7480421,340.6901771,340.6298727
Seoul,135<x,1372.566035,1373.462892,1374.807216,1376.141196,1379.905167,1387.489188,1397.164414,1404.486526,1414.329078,1432.554213,1448.269226,1451.235951,1453.123619,1453.407999,1456.767853,1461.049999,1471.530899,1492.834919,1504.675079,1529.477144,1532.487567,1540.826688,1551.364246,1572.510524,1605.798003,1633.692121,1674.515234,1695.114053,1704.664051,1708.762009,1719.693004,1736.417065,1793.707684,1827.627361,1847.670696,1850.100939,1813.614226,1812.848415,1809.809971,1807.831348,1806.375816,1809.546393,1833.427362,1855.377535,1875.498176,1880.578087,1862.021542,1882.587308,1929.207499,1942.388108,1952.1354,1951.267025,1952.138773,1965.328966,1998.414746,2026.916301,2062.77072,2081.094469,2107.774806,2130.285029,2158.171922,2186.713806,2211.061783,2232.811632,2257.745161,2296.89729,2328.960022,2370.969556,2411.967689,2473.011038,2544.58512,2580.238493,2605.309422,2639.279647,2670.087771
Seoul,102<x<=135,749.8570919,749.9643884,750.3187325,751.3763307,753.7287069,758.5977362,763.8366969,769.6128028,776.0061836,785.218369,792.408015,793.7933084,794.8797088,795.5609778,797.0653692,799.6001713,805.1145082,818.8509796,827.0876467,843.107995,846.2929991,851.5189506,861.6481851,874.9272474,894.6105756,915.3789038,940.1399423,955.958436,962.701115,968.1146981,976.5522105,992.5131089,1042.666225,1064.226398,1073.874897,1077.341227,1086.094835,1085.274525,1083.259806,1080.124641,1080.346594,1082.368549,1093.84438,1108.574661,1121.245438,1124.825533,1135.703427,1154.792849,1190.099047,1205.249755,1218.091358,1219.536051,1220.306102,1230.540268,1261.189358,1286.189661,1318.119676,1330.667609,1354.542549,1375.784316,1400.416549,1429.741249,1453.205302,1465.45926,1484.645863,1510.47225,1530.611424,1553.937474,1577.33144,1595.884287,1623.33059,1635.520291,1648.714989,1663.018878,1675.024752
Seoul,85<x<=102,708.3381599,708.8313626,709.9100367,712.9346454,718.4614392,724.7451062,736.0094762,746.7360814,757.1158536,773.1715637,785.7300849,788.0613802,787.1293907,788.5407053,790.4152953,792.9780474,803.2572154,827.4670751,828.8360661,840.5110738,844.2944518,851.9579407,860.0366467,876.0856801,900.9865764,921.278261,959.3154566,967.606114,973.2290837,979.013059,987.9242738,1000.692878,1049.038996,1068.57906,1088.234273,1091.265934,909.3363466,909.4356919,906.7504526,904.8796219,903.8179318,904.3582012,914.2093893,925.5111028,936.1665205,939.9134547,950.3726524,965.5707887,995.1604677,1007.784683,1028.328644,1030.579423,1031.173586,1038.780036,1067.136871,1091.694821,1111.504053,1125.22167,1139.178508,1158.466004,1180.639566,1208.309005,1230.462278,1248.442181,1258.955865,1281.730509,1296.153356,1319.738053,1344.882976,1418.965542,1497.777347,1528.687363,1553.197594,1584.444659,1610.585669
Seoul,60<x<=85,492.8301524,493.5491263,494.1697326,495.6046454,498.6502266,502.3708076,507.5075957,513.2650051,517.7198314,526.2826144,533.2553507,534.994704,535.7510461,536.652274,538.1076132,539.7545402,544.6399865,553.3210927,560.1327359,571.7135861,575.0173925,581.1801862,589.5304355,598.8479994,611.934965,624.0860329,643.9740044,656.2996106,662.2990773,666.7283227,672.8406691,684.6116402,718.9555783,736.7716873,745.1359976,747.7126713,696.073511,695.8156801,694.4533307,694.2182284,695.0139117,696.5107628,705.0693627,711.6634488,718.2400268,722.7687273,730.4860982,742.9195667,766.6882732,776.8011231,791.5768869,795.6736785,796.5445023,806.6381626,831.3664605,854.8954078,878.3518009,889.8641299,907.2869493,921.5117544,939.210884,959.4721071,976.2938051,986.5848899,995.8545347,1012.623709,1024.641078,1042.012422,1060.02718,1099.636669,1143.086947,1162.247933,1181.937873,1201.805095,1217.98153
